index,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3213,Large room near Columbia Medical school,176591085,Mike,Manhattan,Washington Heights,40.84554,-73.94282,Private room,48,1,7,21/06/2019,1.09,4,176
3214,Bright green 2nd fl 2BR on ridgewood/bushwick cusp,7784696,Elizabeth,Queens,Ridgewood,40.70555,-73.91333,Entire home/apt,75,3,9,24/09/2018,0.45,1,0
3215,Full Lavish Studio apartment in the heart of NYC,164637779,Sajee,Manhattan,Upper East Side,40.76938,-73.96732,Entire home/apt,150,1,2,30/12/2017,0.11,1,0
3216,An Exquisite Private Bedroom.,44508730,Cadet,Brooklyn,Prospect-Lefferts Gardens,40.65973,-73.94826,Private room,100,1,5,29/10/2017,0.22,1,89
3217,Family Friendly Park Slope House,2119928,Rachael,Brooklyn,South Slope,40.66421,-73.98706,Entire home/apt,380,4,7,29/08/2018,0.12,1,62
3218,LYRIC - Hotel Studio Suite with Kitchen,197053492,Lyric At 70 Pine,Manhattan,Financial District,40.70722,-74.00873,Entire home/apt,219,1,36,7/07/2019,2.83,8,321
3219,The best home away from home!,263843788,Diana,Queens,Sunnyside,40.74143,-73.9229,Entire home/apt,145,2,7,1/07/2019,5.68,1,14
3220,Bright and Charming in Chelsea,66484647,Serkan,Manhattan,Chelsea,40.74419,-73.99861,Entire home/apt,165,3,110,9/06/2019,2.87,1,222
3221,High-end doorman bldg in the LES,21475,Milan,Manhattan,Lower East Side,40.72019,-73.98217,Private room,120,2,99,27/06/2019,1.04,1,345
3222,Stylish & Spacious 1BD in Central Harlem!,17430718,Natasha,Manhattan,Harlem,40.81537,-73.94067,Entire home/apt,135,3,21,10/06/2019,1.13,2,75
3223,"Cheap, clean, 15 min. to Manhattan",6067526,Matt,Queens,Jackson Heights,40.74852,-73.8889,Private room,50,1,0,,,1,188
3224,Sunny Private Room nr 4 Train Lines,22489244,Jared,Brooklyn,Williamsburg,40.7048,-73.94294,Private room,79,2,78,12/06/2019,1.91,1,58
3225,Classic UWS 1 Bed in Doorman Bldg,15573381,Lindsay,Manhattan,Upper West Side,40.78085,-73.98471,Entire home/apt,250,1,0,,,1,0
3226,Tranquil Garden Level Apartment,34386255,Nicholas,Brooklyn,Bedford-Stuyvesant,40.67922,-73.95383,Private room,85,1,0,,,1,0
3227,Luxe and Quiet 1 Bdrm Upper East Side Apartment,15605409,Jackie,Manhattan,Upper East Side,40.77064,-73.96197,Entire home/apt,345,7,15,14/06/2019,1.92,1,21
3228,"Charming, light-filled 1-bedroom",1705617,David,Brooklyn,Fort Hamilton,40.62347,-74.0359,Entire home/apt,90,7,0,,,1,0
3229,Brooklyn Loft,1494472,Shandor,Brooklyn,Navy Yard,40.69823,-73.97357,Entire home/apt,150,21,0,,,2,365
3230,Cozy 2 Bd Apartment in Near Central Park New York,269372955,Pol,Manhattan,Upper West Side,40.7875,-73.97511,Entire home/apt,350,4,0,,,1,324
3231,Bright Prospect Park Charmer,3241305,Emilia,Brooklyn,Prospect-Lefferts Gardens,40.65962,-73.96063,Entire home/apt,99,4,43,6/05/2019,0.7,1,0
3232,Your Own Garden Apt in Brooklyn,55558315,Euvin,Brooklyn,Crown Heights,40.6713,-73.95603,Entire home/apt,120,2,0,,,1,0
3233,Private room in the heart of Williamsburg!,48100358,Ivan,Brooklyn,Williamsburg,40.70973,-73.95939,Private room,55,1,147,15/06/2019,4.1,3,24
3234,NEW Sunny Light filled 1BR Apartment in Brooklyn!,260413032,David,Brooklyn,Bedford-Stuyvesant,40.69241,-73.95793,Entire home/apt,149,2,3,2/07/2019,3,1,268
3235,1 Bedroom apartment,157284647,Edgar,Manhattan,East Harlem,40.78743,-73.95179,Entire home/apt,150,4,92,2/07/2019,4.62,1,0
3236,Spacious 2 Bedroom in Brooklyn,46388202,Diana,Brooklyn,Columbia St,40.6893,-74.00023,Entire home/apt,250,7,0,,,1,0
3237,Elegant Oasis - Private Roof Terrace,11898556,Ola,Manhattan,Chelsea,40.7414,-73.99815,Entire home/apt,500,30,22,8/06/2019,0.48,1,266
3238,Cozy room in Upper West Side,323517,Deda,Manhattan,Upper West Side,40.80082,-73.9652,Private room,109,1,104,25/06/2019,1.05,2,364
3239,Harlem Heights Double Suites,39174150,Keanna,Manhattan,Harlem,40.82528,-73.95313,Private room,215,2,3,6/05/2019,0.42,3,91
3240,Sunny room in BK for your NYC stay!,40146897,Eric,Brooklyn,Crown Heights,40.67306,-73.92334,Private room,49,2,34,4/06/2019,1.11,5,29
3241,Upper West Side 1 Bedroom Apt near Central Park,212661859,Amita,Manhattan,Upper West Side,40.78333,-73.98089,Entire home/apt,199,4,6,18/11/2018,0.58,1,0
3242,Nice apartment in Manhattan. 5,123320165,Murah,Manhattan,East Harlem,40.7895,-73.9441,Entire home/apt,120,5,20,23/06/2019,1.04,1,341
3243,Gorgeous spacious. 2 subways close,306394,Marialuisa,Brooklyn,Bedford-Stuyvesant,40.6842,-73.9177,Private room,59,1,123,30/06/2019,2.23,1,336
3244,Sunny 1BR Near Train (Greenpoint/Williamsburg),29134684,Max,Brooklyn,Greenpoint,40.72686,-73.95246,Entire home/apt,199,6,2,14/07/2017,0.08,1,0
3245,"""HELLO BROOKLYN"" PARK SIDE VIEW NEWLY RENO APT.",52403444,"R, J",Brooklyn,Bedford-Stuyvesant,40.68914,-73.94556,Entire home/apt,109,1,146,24/06/2019,5.57,3,21
3246,Cozy studio at heart of Williamsburg,21099366,Lauren,Brooklyn,Williamsburg,40.71223,-73.96025,Entire home/apt,150,4,5,2/01/2019,0.25,1,0
3247,Gorgeous 1BR near Columbus Circle,28340943,Jessica,Manhattan,Upper West Side,40.77861,-73.98336,Entire home/apt,199,1,0,,,1,0
3248,Master bedroom/private bathroom with Balcony,12188270,Adam,Brooklyn,Bedford-Stuyvesant,40.68511,-73.95452,Private room,90,3,5,27/08/2018,0.15,1,83
3249,Lux 2BR apt City View:),191009021,Matt,Manhattan,Upper West Side,40.77119,-73.98769,Entire home/apt,250,3,1,20/06/2019,1,1,14
3250,Cute brick wall Br in Williamsburg.,10304755,Michael,Brooklyn,Williamsburg,40.71156,-73.95826,Private room,80,2,108,1/06/2019,1.93,2,4
3251,Duplex Loft Suite w/ Patio @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73867,-73.95448,Entire home/apt,199,3,50,2/07/2019,0.67,28,47
3252,Luxury studio apartment with fantastic view,31250542,Kenneth,Manhattan,Financial District,40.70657,-74.00549,Entire home/apt,100,2,1,23/07/2016,0.03,1,0
3253,Quiet One Bedroom in Park Slope,1096084,Daniel,Brooklyn,Gowanus,40.67688,-73.9859,Entire home/apt,100,7,9,23/06/2016,0.1,1,0
3254,1BR in the heart of UWS,80508435,Irving,Manhattan,Upper West Side,40.79416,-73.97044,Private room,95,1,26,22/07/2018,1.04,2,0
3255,Art Gallery  in Harlem,23152983,Nicholas,Manhattan,Washington Heights,40.83206,-73.94261,Entire home/apt,150,4,11,3/07/2019,0.24,1,319
3256,"One Bedroom Apartment in Brownstone in Harlem, NYC",79141968,Conrad,Manhattan,Harlem,40.81044,-73.94916,Entire home/apt,150,3,13,9/06/2019,0.37,1,207
3257,Luxury Bright NYC Apartment,41411171,Asem,Manhattan,Upper West Side,40.79469,-73.96575,Private room,40,1,0,,,1,0
3258,"Che’ Randall Deux
SoBro
10 minutes to Manhattan!",30585124,Rawn,Bronx,Longwood,40.81822,-73.90812,Private room,35,5,8,2/01/2019,0.77,2,179
3259,Crown Heights Great Single Bedroom,44273727,Wes,Brooklyn,Crown Heights,40.67416,-73.93854,Private room,70,1,3,2/11/2015,0.06,1,0
3260,Blue Magic,14785032,Jake,Queens,St. Albans,40.69112,-73.77761,Private room,48,1,165,2/07/2019,4.64,1,365
3261,Location Silma,3250450,Petya,Queens,Maspeth,40.74064,-73.89956,Private room,39,30,0,,,18,352
3262,Private room in Park Slope,51009239,Lilly,Brooklyn,South Slope,40.66249,-73.97921,Private room,45,1,1,5/01/2016,0.02,1,0
3263,Upper East Side Gem!,25840204,Daniel,Manhattan,Upper East Side,40.77546,-73.95165,Entire home/apt,150,3,75,27/04/2019,1.44,1,234
3264,Stay with a Jazz Singer in Harlem!,2006712,Amanda,Manhattan,Harlem,40.80192,-73.95827,Private room,125,1,0,,,1,365
3265,Furnished 1BR on Prospect Park,13274612,Caleb,Brooklyn,Flatbush,40.65009,-73.96336,Private room,39,180,0,,,1,179
3266,The Lincoln,9209820,Althea,Brooklyn,Crown Heights,40.67138,-73.94949,Entire home/apt,225,3,76,18/05/2019,1.24,3,275
3267,Charming 1 bedroom on the water!,32347526,Heather,Manhattan,East Harlem,40.79445,-73.93307,Entire home/apt,120,3,116,20/06/2019,2.29,1,231
3268,1 Bedroom apartment with Backyard ,854567,Oketo,Brooklyn,Bushwick,40.68843,-73.91577,Private room,40,1,0,,,2,0
3269,Bedford Ave N. WBurg Room in 2BR-1,28709982,Sidiq,Brooklyn,Williamsburg,40.71986,-73.95619,Private room,99,2,35,2/01/2017,0.68,3,76
3270,☆ Manhattan's Retreat - Blocks from Times Square!,209405908,Louis,Manhattan,Hell's Kitchen,40.75655,-73.99535,Private room,90,1,44,4/07/2019,4.07,3,36
3271,Modern Sleek Apartment in Dumbo,16051761,Sandra,Brooklyn,Downtown Brooklyn,40.69739,-73.98444,Entire home/apt,150,7,0,,,1,0
3272,Large Yankee stadium Bronx bedroom in spacious apt,8159536,Genae,Bronx,Concourse Village,40.83086,-73.92025,Private room,57,1,6,11/03/2019,0.42,3,220
3273,"Prime Williamsburg Modern Charm, steps to park",34676783,Natasha,Brooklyn,Greenpoint,40.71966,-73.95428,Entire home/apt,350,2,5,17/09/2018,0.2,1,0
3274,Oasis,156505456,John,Brooklyn,East New York,40.66221,-73.88868,Private room,37,3,15,4/06/2019,0.81,13,90
3275,Cozy room in Williamsburg near subway,228184534,Ekaterina,Brooklyn,Williamsburg,40.71965,-73.94234,Private room,45,15,1,31/03/2019,0.3,1,37
3276,"One B/R (1-2Gsts) near beach, JFK, A & Air trains",139957134,Trudy,Queens,Arverne,40.59754,-73.79949,Private room,50,1,53,27/06/2019,2.35,3,249
3277,Duplex apartment with garden,7379093,Francesca,Manhattan,Upper West Side,40.79086,-73.96683,Entire home/apt,439,5,79,29/06/2019,1.15,2,154
3278,Backyard BBQ in Brooklyn Brownstone,4950369,Meryl,Brooklyn,Bedford-Stuyvesant,40.68863,-73.94294,Entire home/apt,145,7,28,27/08/2018,0.39,1,188
3279,"Quirky, Exposed-Brick Cozy Room Brooklyn Townhouse",149929,Obed,Brooklyn,Fort Greene,40.68871,-73.97181,Private room,68,8,37,2/07/2019,0.5,5,280
3280,Private studio in Central Harlem brownstone,38499797,Musya,Manhattan,East Harlem,40.80474,-73.94118,Entire home/apt,110,3,3,1/07/2019,3,1,3
3281,Times Square 2BD 1st Floor,70412965,Sam S.,Manhattan,Hell's Kitchen,40.76371,-73.99346,Entire home/apt,200,2,9,13/06/2019,2.7,1,140
3282,1BR on Quiet Block in Nolita,9229424,John,Manhattan,Nolita,40.72276,-73.99499,Entire home/apt,145,2,52,18/06/2019,0.86,1,0
3283,"Classic Brownstone, a Private Studio Apartment",8715723,Jacob,Manhattan,Harlem,40.80783,-73.95419,Private room,164,1,141,10/06/2019,4.74,5,209
3284,Large 2 Bedroom Apartment with Full Amenities,104835154,Itay,Manhattan,Murray Hill,40.74436,-73.97321,Entire home/apt,175,30,0,,,2,274
3285,1900s 1 Bed Rockaway Beach Bungalow-ByMTA&Beach,271885652,Elizabeth,Queens,Rockaway Beach,40.58893,-73.81347,Entire home/apt,89,1,0,,,4,175
3286,Large furnished studio utilities&wifi including.,61685550,Jianyan,Manhattan,Upper East Side,40.77099,-73.95118,Entire home/apt,120,1,3,24/06/2017,0.12,1,0
3287,Cute and comfy 1bedroom apartment,65217454,Carla,Manhattan,Washington Heights,40.85264,-73.92976,Entire home/apt,60,5,16,25/05/2019,0.41,1,4
3288,Entire floor in historic Harlem brownstone,2896601,Liz,Manhattan,Harlem,40.81582,-73.94267,Entire home/apt,118,2,3,28/06/2019,2,1,17
3289,Very Sunny Private Room with Bath,21505913,Geri,Brooklyn,Crown Heights,40.67205,-73.95092,Private room,90,12,24,19/06/2017,0.41,1,64
3290,Sonder | Stock Exchange | Airy 1BR + Laundry,219517861,Sonder (NYC),Manhattan,Financial District,40.70727,-74.01026,Entire home/apt,235,2,3,11/06/2019,1.58,327,341
3291,"Priv room in 3 bdrm apt - Room ""C""",9207223,Ryan,Manhattan,Harlem,40.80688,-73.94932,Private room,90,3,1,14/10/2015,0.02,3,177
3292,Nice Room in Charming Apartment,8338942,Victor,Manhattan,Nolita,40.72363,-73.99546,Shared room,70,1,228,21/06/2019,6.36,4,103
3293,Studio + loft space in Gramercy,3313475,Mimi,Manhattan,Kips Bay,40.74229,-73.98165,Entire home/apt,150,2,2,25/07/2015,0.04,1,0
3294,Airy Living Room | 15 min. to GC,33736005,Sarah,Queens,Sunnyside,40.74439,-73.92163,Shared room,50,1,1,28/06/2015,0.02,2,0
3295,Amazing and clean apartment-15 min to Central Park,271784048,Deruchett,Manhattan,Harlem,40.82601,-73.93795,Private room,60,3,0,,,1,229
3296,It's so easy to get to EVERYthing!,1251762,Molly,Brooklyn,Crown Heights,40.66898,-73.9571,Entire home/apt,185,3,34,9/06/2014,0.39,1,0
3297,"Beautiful 1br, in heart of city",81134987,Armen,Manhattan,Kips Bay,40.74099,-73.98139,Entire home/apt,210,3,14,21/06/2019,0.39,1,327
3298,"private cosy , clean 2  bedroom apt",15724675,Juan,Queens,Woodside,40.74185,-73.90684,Private room,105,2,9,14/08/2017,0.26,2,0
3299,Beautiful sunny studio.,120761466,Atherly,Brooklyn,Flatbush,40.64765,-73.95804,Private room,90,2,45,30/06/2019,1.64,1,363
3300,22min from Manhattan,28096614,Bruno,Queens,Woodside,40.74249,-73.90603,Private room,50,2,10,2/07/2019,4.76,2,257
3301,Awesome Private Bushwick studio!,1290870,Gus,Brooklyn,Bushwick,40.69848,-73.91179,Entire home/apt,100,2,60,8/07/2019,4.74,1,39
3302,3bdrm cozy attic 15 mins from jfk & Belmont track,160940380,Adeola,Queens,St. Albans,40.69869,-73.749,Entire home/apt,250,3,4,9/06/2019,0.63,3,348
3303,Big Studio W/ Prive Patio +Amenity,2147475,Will,Brooklyn,Greenpoint,40.72107,-73.95376,Entire home/apt,159,1,3,2/01/2017,0.1,1,0
3304,"Pet friendly, homey 1 BR in Lower East Side, NYC",30432695,LisaMarie,Manhattan,Lower East Side,40.71832,-73.98325,Entire home/apt,125,7,11,28/06/2019,0.22,1,20
3305,"Brooklyn,  KingsHwy . 1 room for 1 person",166204258,Olga,Brooklyn,Sheepshead Bay,40.6092,-73.9572,Private room,27,1,1,5/02/2018,0.06,1,0
3306,shared space with Great location!!!,43719073,Nora,Brooklyn,Sheepshead Bay,40.59852,-73.95481,Shared room,35,1,116,25/06/2019,2.55,5,351
3307,Warm and Beautiful Harlem Apartment,4266017,Connie & Michael,Manhattan,Harlem,40.80586,-73.94642,Entire home/apt,165,7,8,15/08/2016,0.1,1,234
3308,Sonder | Stock Exchange | Dreamy Studio + Lounge,219517861,Sonder (NYC),Manhattan,Financial District,40.70649,-74.01208,Entire home/apt,201,2,9,14/06/2019,2.62,327,271
3309,Comfy 1 Bedroom Apt with Guest Room,26951283,Alexsis,Brooklyn,Park Slope,40.67092,-73.98759,Entire home/apt,100,2,4,23/10/2016,0.08,1,0
3310,Art Filled Private Room,62776991,Cem,Brooklyn,Sunset Park,40.66323,-73.99573,Private room,60,5,3,10/05/2019,0.47,1,0
3311,Great apt right by Grand Central!!,70671555,Summar,Manhattan,Midtown,40.75043,-73.97243,Private room,86,14,0,,,1,346
3312,LOFT#1 - Broadway Av. Amazing Location! SoHo,108029974,Agustina,Manhattan,Greenwich Village,40.72839,-73.99437,Entire home/apt,495,6,12,14/06/2019,0.84,4,52
3313,Central Park studio at great price!,2961779,Carmen,Manhattan,Hell's Kitchen,40.76735,-73.98578,Entire home/apt,100,2,6,1/01/2017,0.16,1,0
3314,Urban Zen in Historic Stuyvesant Heights,70773274,Micah,Brooklyn,Bedford-Stuyvesant,40.68414,-73.93538,Entire home/apt,140,6,0,,,1,252
3315,Front bdrm in massive NoLita Loft,3922258,Alex,Manhattan,Lower East Side,40.7188,-73.99452,Private room,100,1,1,10/08/2015,0.02,1,0
3316,Lovely 1-bedroom-heart of Astoria,6002245,Nicholas,Queens,Astoria,40.76062,-73.9175,Entire home/apt,80,70,44,26/04/2019,0.61,1,198
3317,Prime Location Luxury Tribeca Loft,25996073,Jonathan,Manhattan,Tribeca,40.71991,-74.00641,Entire home/apt,500,30,0,,,1,342
3318,"Cozy, bright 1BR avail. in East Village apartment",626289,Marshall,Manhattan,East Village,40.72978,-73.9793,Private room,125,3,28,25/06/2019,0.33,1,364
3319,"The BLUE OWL:
VEGETARIAN WBURG W PATIO & BACKYARD!",1302029,Bree,Brooklyn,Williamsburg,40.7116,-73.9529,Private room,89,30,30,31/05/2019,0.8,1,91
3320,Hermoso Cuarto para compartir en familia,248714625,Janneth,Queens,East Elmhurst,40.75985,-73.88233,Shared room,70,1,1,26/04/2019,0.41,1,89
3321,"Lovely Studio, a Block from Trains!",15107994,Saad,Queens,Jackson Heights,40.74761,-73.89466,Entire home/apt,85,4,6,6/01/2016,0.11,1,0
3322,Large Furnished Room Near B'way ,8967,Shunichi,Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,79,2,430,24/06/2019,3.47,1,220
3323,Magnificent Lakeview Home on Kissena Park in NYC,23234988,Ann,Queens,Flushing,40.74982,-73.8061,Entire home/apt,500,3,0,,,6,256
3324,Amazing Apt step away from the Time Square/72C,48146336,Irina,Manhattan,Hell's Kitchen,40.76136,-73.99309,Entire home/apt,160,30,4,16/06/2018,0.17,20,313
3325,Lower East Side Summer Rental,37580284,Jonathan,Manhattan,Lower East Side,40.71571,-73.98699,Entire home/apt,85,35,0,,,1,0
3326,"Large duplex in trendy Brooklyn, New York",14715701,Daniel & Lia,Brooklyn,Cobble Hill,40.68628,-73.99681,Entire home/apt,198,3,1,19/08/2018,0.09,1,5
3327,2 Blocks from Subway | Artsy BK Space,106940781,Corey,Brooklyn,Bushwick,40.69838,-73.93527,Private room,50,21,0,,,1,0
3328,Private Room With Balcony UES,24666854,Namrata,Manhattan,Upper East Side,40.77321,-73.95175,Private room,90,1,0,,,1,0
3329,Washington Heights Studio,18111963,Patricia,Manhattan,Washington Heights,40.84205,-73.93716,Entire home/apt,75,5,0,,,1,0
3330,Sunny room in Lower East Side Apt!,183151,Lynh,Manhattan,Lower East Side,40.71578,-73.98201,Private room,47,1,0,,,1,0
3331,"Private, Cozy Bedroom in the Upper East",39561430,Tim,Manhattan,Upper East Side,40.78119,-73.9462,Private room,52,22,1,12/12/2018,0.14,1,0
3332,one bedroom in the middle of it all,27204642,Anna,Manhattan,Theater District,40.76115,-73.98224,Entire home/apt,200,30,14,9/05/2019,0.29,1,284
3333,"Apartment in Bay Ridge, Brooklyn",48169083,Rebekah,Brooklyn,Bay Ridge,40.63066,-74.02577,Entire home/apt,110,1,0,,,1,0
3334,Room Private Entrance Close to Subway/Bus/Airport,44782054,Jennifer,Queens,Ditmars Steinway,40.77317,-73.91508,Private room,55,2,58,27/06/2019,3.81,1,9
3335,Clean Modern Apartment,1522922,Timothy,Brooklyn,Crown Heights,40.67617,-73.95536,Entire home/apt,200,2,0,,,1,0
3336,Cozy Room In Chinatown!,17493980,Bridget,Manhattan,Financial District,40.71142,-74.00535,Private room,80,30,0,,,1,67
3337,Large Quiet Bedroom Near Columbia U,781647,Jorin,Manhattan,Harlem,40.80518,-73.95359,Private room,89,5,43,3/01/2018,0.47,2,247
3338,CrashPadsUSA Hotbeds for Airline Crew ONLY,63560790,A.B.,Queens,Kew Gardens,40.70542,-73.82979,Shared room,43,1,8,30/06/2019,0.73,2,362
3339,"Convenient to the east and west, private basement.",310296,Jaqui And Mark,Brooklyn,Prospect-Lefferts Gardens,40.66255,-73.94676,Entire home/apt,65,1,57,29/06/2019,3.07,2,53
3340,Lovely APT in the Heart of Bushwick!,21877498,Andy,Brooklyn,Bushwick,40.7012,-73.92876,Entire home/apt,125,3,0,,,2,0
3341,Brooklyn Finest Air Bnb,224699779,Michael,Brooklyn,Bushwick,40.69097,-73.92166,Private room,120,7,0,,,1,365
3342,Large 1BR in Heart of LES,84320,Kevin,Manhattan,Lower East Side,40.71692,-73.98259,Entire home/apt,245,10,6,3/01/2017,0.14,1,0
3343,Beautifully Renovated Brownstone Apt! #10264,28574655,Mimi,Brooklyn,Crown Heights,40.67589,-73.94223,Entire home/apt,180,30,54,24/06/2019,2.98,1,277
3344,Historic East Village Townhouse,4390639,Joanna,Manhattan,East Village,40.73345,-73.98956,Entire home/apt,495,2,66,1/07/2019,0.93,1,334
3345,Stunning bedroom in the best neighborhood of NYC,13001035,Montserrat,Manhattan,Midtown,40.756,-73.97078,Private room,122,3,19,24/11/2018,0.67,1,0
3346,"Central Brooklyn
Beautiful Rooms
Room Vista",167098774,Keisha,Brooklyn,Canarsie,40.63761,-73.89339,Private room,55,2,32,27/05/2019,1.84,3,76
3347,Live like a real New Yorker!,7016230,André,Manhattan,Lower East Side,40.7191,-73.98866,Entire home/apt,80,3,67,16/01/2017,0.92,1,85
3348,Breathtaking view 30th floor Bedroom in FIDI,3965200,Daniel,Manhattan,Financial District,40.70629,-74.0098,Private room,175,3,55,20/06/2019,2.95,1,26
3349,Cozy 1 Bedroom on Upper east side,21229563,Ankita,Manhattan,Upper East Side,40.78231,-73.94571,Entire home/apt,100,1,0,,,1,0
3350,Quiet private room for 1 or 2 people,89852528,Florentino,Queens,Ridgewood,40.70645,-73.90578,Private room,45,1,38,1/12/2018,1.11,1,0
3351,"Brooklyn 3 BDR Townhouse: style, comfort, location",92987625,Jake,Brooklyn,Clinton Hill,40.68277,-73.95886,Entire home/apt,225,3,0,,,1,0
3352,Great Room on Kips Bay,132080218,George,Manhattan,Kips Bay,40.74023,-73.97847,Private room,120,1,14,1/01/2018,0.59,1,0
3353,Zenful and artistic apartment home,227385012,Stephanie,Brooklyn,Bedford-Stuyvesant,40.68824,-73.95047,Private room,34,1,3,1/01/2019,0.43,1,0
3354,GREAT Bright Manhtattan Apartment!,87266,David,Manhattan,Harlem,40.8245,-73.94264,Entire home/apt,120,150,10,7/05/2019,0.46,1,331
3355,Art Dealer's One of a Kind Williamsburg Aptartment,228583,Angelo,Brooklyn,Williamsburg,40.71,-73.9523,Entire home/apt,165,4,10,6/10/2018,0.14,1,49
3356,Gorgeous 1 Bedroom in the heart of NYC: Chelsea,4967319,Jessica,Manhattan,Chelsea,40.73974,-73.99985,Entire home/apt,325,2,19,8/09/2016,0.34,1,0
3357,"BIG Beautiful private bedroom, 5 minutes to subway",107016,Grace,Brooklyn,Crown Heights,40.67618,-73.95133,Private room,47,14,9,4/04/2019,0.19,1,8
3358,Eclectic Prime Williamsburg Space,50374022,Elana,Brooklyn,Williamsburg,40.71254,-73.96411,Private room,100,3,2,22/05/2017,0.06,2,0
3359,NY TIME SQUARE DOUBLE ROOM,224815152,Hudson River Hotel,Manhattan,Hell's Kitchen,40.75641,-73.9971,Private room,209,1,25,28/05/2019,3.49,8,84
3360,2 bedroom LES,43107610,Kate,Manhattan,Lower East Side,40.71933,-73.99,Entire home/apt,142,4,2,30/04/2017,0.07,1,187
3361,Homely One Bedroom on a quite safe street!,31408845,Shane,Queens,Astoria,40.76605,-73.92425,Entire home/apt,250,14,2,28/06/2019,0.32,1,341
3362,Private room in sunny apartment in Williamsburg,49292750,Baptiste,Brooklyn,Williamsburg,40.70766,-73.94789,Private room,72,3,2,3/02/2019,0.31,1,0
3363,East Williamsburg Oasis,4516038,Zak,Brooklyn,Williamsburg,40.71673,-73.94316,Private room,64,5,4,11/09/2016,0.07,1,0
3364,Large loft studio,3255732,Peter,Brooklyn,Williamsburg,40.70527,-73.93057,Shared room,72,30,3,7/07/2018,0.13,1,0
3365,Cozy comfortable private room in Brooklyn NY,67661003,Maki,Brooklyn,Windsor Terrace,40.65549,-73.98111,Private room,55,2,26,23/06/2019,1.36,1,75
3366,Spacious Brooklyn Loft/private room,8118080,Theresa,Brooklyn,Bedford-Stuyvesant,40.68716,-73.91882,Private room,40,7,0,,,1,0
3367,Private room in Williamsburg close to subway,61394859,Katia,Brooklyn,Williamsburg,40.71879,-73.9402,Private room,50,9,0,,,1,0
3368,Snowfort penthouse with lots of natural light,4589525,Michael,Manhattan,Upper West Side,40.77461,-73.98899,Private room,250,7,3,7/11/2015,0.06,1,0
3369,Bright and spacious 1 bedroom,798653,Chrissy And Scott,Brooklyn,Williamsburg,40.7131,-73.94422,Entire home/apt,119,1,7,11/04/2016,0.16,1,0
3370,Cosy and Convenient Carroll Garden,3074287,Gianni,Brooklyn,Carroll Gardens,40.68333,-73.99369,Entire home/apt,147,4,91,27/05/2019,2.1,2,3
3371,Manhattan West - Double Double Room,224414117,Gabriel,Manhattan,Hell's Kitchen,40.75506,-73.99803,Private room,199,1,7,3/02/2019,0.95,30,166
3372,2-bedroom in the heart of the EV!,46323876,Mario,Manhattan,East Village,40.72765,-73.98199,Entire home/apt,199,2,1,28/11/2015,0.02,1,0
3373,South Bronx Studio Near Yankee Stadium,73831041,Jake,Bronx,Concourse,40.82909,-73.92249,Entire home/apt,95,5,0,,,1,0
3374,UPPER EAST Landmark Blding:Walk to Central Park,5309160,Elizabeth And Roberto,Manhattan,Upper East Side,40.77065,-73.95064,Entire home/apt,94,30,15,21/02/2016,0.26,1,309
3375,Private room in Historic Queens NY,50064597,David,Queens,Woodhaven,40.69472,-73.84856,Private room,45,2,5,21/08/2017,0.12,1,0
3376,1BR by 1&A trains,23570593,Joshua,Manhattan,Washington Heights,40.84769,-73.93512,Private room,75,2,24,30/06/2019,0.44,1,321
3377,10 minutes from JFK Airport Rockaway Beach Bliss,196557649,Erica,Queens,Edgemere,40.59684,-73.76873,Entire home/apt,200,1,7,16/06/2019,0.62,2,311
3378,Suite 18 - Private Room w/ private bath,99296570,Daisy,Brooklyn,Brighton Beach,40.58198,-73.9577,Private room,35,1,67,11/06/2019,3.83,5,186
3379,Modern peaceful room in lively East Williamsburg,59188298,John,Brooklyn,Williamsburg,40.71118,-73.94561,Private room,75,2,0,,,1,144
3380,The place you were dreaming for.(only for guys),261338177,Diana,Brooklyn,Gravesend,40.5908,-73.97116,Shared room,25,1,0,,,6,338
3381,Quiet Bedroom in Modern Chelsea Apartment,261627898,Brett,Manhattan,Chelsea,40.74755,-74.00394,Private room,105,1,1,25/06/2019,1,2,31
3382,Quiet Upper West Side Brownstone Oasis,89013063,Gabriella,Manhattan,Upper West Side,40.78901,-73.98057,Entire home/apt,199,5,12,30/06/2019,1.35,1,12
3383,"Peaceful Private Attic Bedroom, Living Room & Bath",20433973,Julia,Bronx,City Island,40.83914,-73.78158,Private room,80,1,6,30/06/2019,1.33,2,358
3384,MODERN COZY NYC APT,97763801,Huong,Queens,Astoria,40.7687,-73.91975,Entire home/apt,149,4,5,7/04/2018,0.15,1,66
3385,Entire Gorgeous Greenpoint Duplex,38217925,Lily,Brooklyn,Greenpoint,40.7342,-73.95707,Entire home/apt,205,5,0,,,2,64
3386,"Spacious, comfortable, UES private room",37907767,Lauren,Manhattan,Upper East Side,40.7673,-73.96043,Private room,110,1,1,3/12/2016,0.03,1,0
3387,Private Room Near Bronx Zoo and NYBG!,48106825,Julia,Bronx,Pelham Gardens,40.86437,-73.8485,Private room,47,2,40,16/04/2019,1.58,2,339
